ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102708-54-311,2025-07-04,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-102764-54-472,2025-07-04,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-104554-54-1,2025-07-03,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-102764-54-472,2025-06-27,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-102708-54-311,2025-06-27,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-104554-54-1,2025-06-26,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-102764-54-472,2025-06-20,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-102708-54-311,2025-06-20,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-104554-54-1,2025-06-19,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-102764-54-472,2025-06-13,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-102708-54-311,2025-06-13,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-104554-54-1,2025-06-12,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-102708-54-311,2025-06-06,930,1030,2024,102708,54,311,1,45,50,6.0
2024-0-115-102764-54-472,2025-06-06,1700,1900,2024,102764,54,472,1,37,44,50.0
2024-0-115-104554-54-1,2025-06-05,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-106057-54-214,2025-05-30,830,1030,2024,106057,54,214,1,21,2,60.0
2024-0-115-102775-54-412,2025-05-30,830,930,2024,102775,54,412,1,41,26,12.0
2024-0-115-106063-54-211,2025-05-30,930,1130,2024,106063,54,211,1,0,43,10.0
2024-0-115-102768-1-43,2025-05-30,830,1030,2024,102768,1,43,1,81,85,26.0
2024-0-115-102749-54-452,2025-05-30,1330,1430,2024,102749,54,452,1,47,48,12.0
2024-0-115-102707-54-312,2025-05-30,930,1030,2024,102707,54,312,1,36,40,30.0
2024-0-115-102685-54-321,2025-05-30,1330,1430,2024,102685,54,321,1,38,45,15.0
2024-0-115-102716-54-331,2025-05-30,1030,1130,2024,102716,54,331,1,18,23,12.0
2024-0-115-102746-54-432,2025-05-30,1030,1130,2024,102746,54,432,1,38,50,12.0
2024-0-115-106045-54-211,2025-05-30,930,1030,2024,106045,54,211,1,59,57,16.0
2024-0-115-102764-54-411,2025-05-30,830,1030,2024,102764,54,411,1,38,36,50.0
2024-0-115-102764-54-432,2025-05-30,1030,1230,2024,102764,54,432,1,37,37,50.0
2024-0-115-102685-54-311,2025-05-30,1330,1430,2024,102685,54,311,1,39,35,15.0
2024-0-115-106047-54-212,2025-05-30,1230,1330,2024,106047,54,212,1,35,41,23.0
2024-0-115-101745-56-22,2025-05-30,1800,1900,2024,101745,56,22,1,24,29,5.0
2024-0-115-106043-54-211,2025-05-30,830,930,2024,106043,54,211,1,51,50,23.0
2024-0-115-101768-55-22,2025-05-30,1730,1930,2024,101768,55,22,1,17,19,12.0
2024-0-115-102685-54-332,2025-05-30,1500,1600,2024,102685,54,332,1,30,19,15.0
2024-0-115-102746-55-425,2025-05-30,1230,1430,2024,102746,55,425,1,21,15,12.0
2024-0-115-106043-1-21,2025-05-30,1030,1130,2024,106043,1,21,1,101,99,45.0
