DS_CARACTERISTICA,Count
Piano,1
Escaner diapositives,1
Capacitat,6
Traducció simultània (130 CAD),8
Videoconferència,8
Gravació i transmissió per internet,8
Micròfon sense fils,8
Micròfons de taula,8
Connexió a la xarxa (nombre),8
Doble platina,8
Faristol,9
Impressora color,17
Impressora matricial,17
Impressora làser,17
Impressora,17
Micròfon corbata,33
Micròfon de corbata,34
Mampares (espais amb possibilitat de divisió),34
Negatoscopi,36
Pissarra pentagrama,36
Càmara vídeo,36
Reproductor CD/casette,36
Monitor d'ordinador,36
Taules per a minusvàlids,37
Minidisc,37
Filmadora VHS,37
Tarima,37
Cabines d'interpretació,45
Megafonia,45
Punter làser,50
Filmadora diapositives,53
Projector cossos,53
Gravadores de DVD,53
Instal·lació informàtica,53
Capturadora  vídeo,54
Canó projecció portàtil,59
Pissarra interactiva,62
Ordinadors (nombre),65
Allargador,66
Gravadores i reproductors de cassette,69
Porta secundària,74
Gravadores de CD,86
Pantalla carril,87
DVD,87
Vídeo,87
Papelògraf,87
Televisor,88
Capacitat exàmens,128
Aire condicionat,135
Canó projecció fix,135
Pissarra,135
Connexió xarxa sense fil,135
Accés per a minusvàlids,135
Pantalla fixa,135
Projector diapositives,135
Mobiliari,135
Retroprojector,135
Ordinador,135
Connexió xarxa,135
Capacitat docència,137
Telèfon núm.,169
Roseta xarxa núm.,170
