ID_GRUPO,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-102-106688-75-104,2024,106688,75,104,1,13,14,8.0
2024-0-102-106688-75-118,2024,106688,75,118,1,13,12,8.0
2024-0-102-106688-75-119,2024,106688,75,119,1,13,12,8.0
2024-0-102-106688-75-121,2024,106688,75,121,1,13,11,8.0
2024-0-102-106105-56-101,2024,106105,56,101,1,21,20,21.0
2024-0-102-106703-56-201,2024,106703,56,201,1,24,72,23.0
2024-0-102-106097-54-103,2024,106097,54,103,1,41,41,6.0
2024-0-115-102684-55-315,2024,102684,55,315,1,19,11,18.0
2024-0-110-101459-54-1,2024,101459,54,1,1,0,25,74.25
2024-0-110-101341-54-2,2024,101341,54,2,1,0,32,49.5
2024-0-110-101410-54-1,2024,101410,54,1,1,0,27,74.25
2024-0-114-102343-54-2,2024,102343,54,2,1,94,82,17.0
2024-0-114-102343-54-52,2024,102343,54,52,1,64,82,17.0
2024-0-115-101759-56-12,2024,101759,56,12,1,23,25,8.0
2024-0-115-101763-55-23,2024,101763,55,23,1,19,20,18.0
2024-0-103-104421-1-410,2024,104421,1,410,1,0,0,21.0
2024-0-115-102765-54-431,2024,102765,54,431,1,39,39,38.0
2024-0-115-103803-55-419,2024,103803,55,419,1,21,10,12.0
2024-0-115-102767-54-432,2024,102767,54,432,1,37,39,50.0
2024-0-115-104532-60-611,2024,104532,60,611,1,17,2,12.0
2024-0-102-104098-55-103,2024,104098,55,103,1,20,21,49.5
2024-0-102-102893-75-201,2024,102893,75,201,1,20,14,4.0
2024-0-114-102337-1-1,2024,102337,1,1,1,89,99,32.5
2024-0-113-100751-55-121,2024,100751,55,121,1,19,19,18.0
2024-0-103-102493-55-4,2024,102493,55,4,1,20,25,8.0
2024-0-103-102493-55-5,2024,102493,55,5,1,20,25,8.0
2024-0-103-105034-1-2,2024,105034,1,2,0,64,54,1.0
2024-0-115-102713-54-312,2024,102713,54,312,1,37,58,12.0
2024-0-115-103797-55-319,2024,103797,55,319,1,20,19,12.0
2024-0-115-103797-55-320,2024,103797,55,320,1,20,19,12.0
2024-0-115-104534-54-612,2024,104534,54,612,1,25,5,12.0
2024-0-115-104535-1-61,2024,104535,1,61,1,54,10,26.0
2024-0-115-106936-55-612,2024,106936,55,612,1,17,11,12.0
2024-0-115-106939-54-612,2024,106939,54,612,1,24,17,12.0
2024-0-111-103524-1-3,2024,103524,1,3,1,49,64,30.0
2024-0-111-103680-56-621,2024,103680,56,621,1,39,41,35.0
2024-0-103-106412-54-321,2024,106412,54,321,1,76,0,3.0
2024-0-102-103629-55-103,2024,103629,55,103,1,23,21,21.5
2024-0-102-106703-75-304,2024,106703,75,304,1,13,16,3.0
2024-0-102-106703-75-306,2024,106703,75,306,1,13,16,3.0
2024-0-102-102936-58-206,2024,102936,58,206,0,25,12,24.0
2024-0-115-102782-54-440,2024,102782,54,440,1,34,39,50.0
2024-0-115-102785-54-441,2024,102785,54,441,1,38,38,12.0
2024-0-111-101997-56-622,2024,101997,56,622,1,24,23,10.0
2024-0-111-106733-56-202,2024,106733,56,202,1,39,39,26.5
2024-0-111-106733-56-613,2024,106733,56,613,1,24,26,26.5
2024-0-103-43438-69-91,2024,43438,69,91,1,0,10,21.0
2024-0-102-103449-56-401,2024,103449,56,401,1,55,0,12.0
2024-0-103-42284-1-1,2024,42284,1,1,1,0,5,21.0
2024-0-115-102771-55-413,2024,102771,55,413,1,20,21,18.0
2024-0-111-102084-69-71,2024,102084,69,71,1,0,56,21.0
2024-0-101-106845-60-2,2024,106845,60,2,1,0,1,8.33
2024-0-103-100155-1-60,2024,100155,1,60,1,0,0,21.0
2024-0-103-100155-54-1,2024,100155,54,1,1,69,61,22.0
2024-0-103-104053-1-1,2024,104053,1,1,0,92,0,21.0
2024-0-115-102395-55-211,2024,102395,55,211,1,0,2,21.0
2024-0-115-102404-54-212,2024,102404,54,212,1,47,37,15.0
2024-0-115-102768-55-411,2024,102768,55,411,1,21,20,12.0
2024-0-114-102337-54-8,2024,102337,54,8,1,62,63,17.0
2024-0-114-102341-1-4,2024,102341,1,4,1,77,85,32.5
2024-0-113-100759-55-121,2024,100759,55,121,1,18,18,8.0
2024-0-113-100906-56-341,2024,100906,56,341,1,20,30,7.0
2024-0-113-101966-54-622,2024,101966,54,622,1,26,27,11.0
2024-0-102-102892-1-301,2024,102892,1,301,1,0,28,21.0
2024-0-103-44493-1-1,2024,44493,1,1,1,5,0,20.0
2024-0-103-102505-1-2,2024,102505,1,2,0,64,43,58.0
2024-0-103-102505-55-1,2024,102505,55,1,0,42,40,48.0
2024-0-103-105036-1-2,2024,105036,1,2,1,71,61,36.0
2024-0-103-105036-1-1,2024,105036,1,1,1,68,76,36.0
2024-0-103-105037-54-2,2024,105037,54,2,1,33,31,22.0
2024-0-103-105037-56-3,2024,105037,56,3,1,32,30,2.0
2024-0-103-105038-56-2,2024,105038,56,2,1,37,34,2.0
2024-0-115-103798-56-314,2024,103798,56,314,1,20,0,5.0
2024-0-111-101643-1-4,2024,101643,1,4,1,13,14,42.5
2024-0-111-103700-56-213,2024,103700,56,213,0,22,21,40.0
2024-0-111-104075-56-621,2024,104075,56,621,1,23,22,18.0
2024-0-103-106427-54-2,2024,106427,54,2,1,38,0,21.0
2024-0-102-102971-55-201,2024,102971,55,201,1,10,18,16.0
2024-0-111-102008-1-1,2024,102008,1,1,1,21,34,45.0
2024-0-111-102011-56-311,2024,102011,56,311,1,20,20,15.0
2024-0-111-106733-1-2,2024,106733,1,2,1,78,79,5.0
2024-0-102-102954-54-105,2024,102954,54,105,1,42,47,4.0
2024-0-102-103596-55-114,2024,103596,55,114,1,21,22,9.5
2024-0-111-102083-56-311,2024,102083,56,311,1,35,29,25.0
2024-0-111-102084-56-311,2024,102084,56,311,1,33,31,20.0
2024-0-103-107514-56-10,2024,107514,56,10,0,18,0,21.0
2024-0-102-106728-55-120,2024,106728,55,120,1,23,14,6.0
2024-0-103-100138-1-2,2024,100138,1,2,1,57,65,28.0
2024-0-103-100140-56-22,2024,100140,56,22,1,30,31,8.0
2024-0-111-105048-56-612,2024,105048,56,612,1,26,26,18.0
2024-0-111-105048-56-621,2024,105048,56,621,1,25,22,18.0
2024-0-111-106073-88-1,2024,106073,88,1,1,27,22,20.5
2024-0-103-102489-61-3,2024,102489,61,3,1,103,1,350.0
2024-0-111-43196-1-2,2024,43196,1,2,0,0,0,21.0
2024-0-113-100863-55-341,2024,100863,55,341,1,22,2,12.0
2024-0-113-101929-54-202,2024,101929,54,202,1,8,11,8.0
2024-0-113-100878-1-34,2024,100878,1,34,1,11,14,30.0
2024-0-102-102937-73-310,2024,102937,73,310,0,109,1,18.0
2024-0-102-106117-75-108,2024,106117,75,108,0,10,9,16.0
2024-0-103-42407-1-1,2024,42407,1,1,1,19,18,54.0
2024-0-103-42736-81-1,2024,42736,81,1,1,12,9,187.5
2024-0-103-42817-1-1,2024,42817,1,1,1,18,0,26.0
2024-0-111-102068-69-31,2024,102068,69,31,1,0,69,21.0
2024-0-103-103290-1-1,2024,103290,1,1,1,114,0,21.0
2024-0-103-103298-55-2,2024,103298,55,2,1,19,20,10.0
2024-0-115-102757-1-450,2024,102757,1,450,1,94,100,26.0
2024-0-111-45004-54-2,2024,45004,54,2,0,30,24,54.0
2024-0-115-102759-55-451,2024,102759,55,451,1,20,21,12.0
2024-0-111-45003-54-1,2024,45003,54,1,1,28,21,36.0
2024-0-115-102745-1-415,2024,102745,1,415,1,70,72,13.0
2024-0-102-103630-74-307,2024,103630,74,307,0,10,9,6.0
2024-0-103-101038-56-1,2024,101038,56,1,1,26,22,8.0
2024-0-103-101040-55-1,2024,101040,55,1,0,21,20,48.0
2024-0-103-101045-1-1,2024,101045,1,1,0,55,48,50.0
2024-0-103-104423-55-441,2024,104423,55,441,1,21,0,21.0
2024-0-115-102691-1-330,2024,102691,1,330,1,56,78,39.0
2024-0-102-106703-56-301,2024,106703,56,301,1,18,28,23.0
2024-0-102-102938-1-501,2024,102938,1,501,0,61,55,25.0
2024-0-102-102933-58-501,2024,102933,58,501,0,24,23,10.0
2024-0-102-106140-54-301,2024,106140,54,301,0,11,7,13.0
2024-0-114-102328-55-52,2024,102328,55,52,1,70,65,6.0
2024-0-115-102794-54-431,2024,102794,54,431,1,26,17,12.0
2024-0-115-103518-54-331,2024,103518,54,331,1,48,53,12.0
2024-0-111-45441-1-1,2024,45441,1,1,1,15,12,36.0
2024-0-111-102085-56-211,2024,102085,56,211,1,21,19,30.0
2024-0-111-102089-55-311,2024,102089,55,311,1,35,33,23.0
2024-0-111-103687-81-12,2024,103687,81,12,0,49,4,450.0
2024-0-102-106687-55-114,2024,106687,55,114,1,22,20,11.0
2024-0-102-102947-55-112,2024,102947,55,112,0,20,22,17.5
2024-0-113-100868-1-33,2024,100868,1,33,1,63,55,35.0
2024-0-113-101948-56-632,2024,101948,56,632,1,36,26,4.0
2024-0-113-101951-1-7,2024,101951,1,7,1,0,0,21.0
2024-0-102-102937-73-362,2024,102937,73,362,0,109,1,18.0
2024-0-102-103611-73-206,2024,103611,73,206,1,16,1,15.0
2024-0-114-102342-54-522,2024,102342,54,522,1,0,0,21.0
2024-0-114-102342-1-44,2024,102342,1,44,1,0,0,21.0
2024-0-110-44260-1-1,2024,44260,1,1,0,0,16,50.0
2024-0-103-43481-1-1,2024,43481,1,1,1,44,32,14.0
2024-0-103-102492-54-4,2024,102492,54,4,1,34,22,12.0
2024-0-103-102493-1-1,2024,102493,1,1,1,73,90,36.0
2024-0-103-100150-55-5,2024,100150,55,5,1,16,19,30.0
2024-0-102-106702-73-759,2024,106702,73,759,0,0,1,15.0
2024-0-102-106708-73-718,2024,106708,73,718,0,0,1,68.0
2024-0-102-106699-1-301,2024,106699,1,301,0,88,101,35.0
2024-0-102-106101-56-105,2024,106101,56,105,1,20,12,32.5
2024-0-102-106104-55-108,2024,106104,55,108,1,18,19,17.0
2024-0-102-106104-55-109,2024,106104,55,109,1,21,22,17.0
2024-0-103-105044-69-932,2024,105044,69,932,1,0,100,21.0
2024-0-115-102741-55-424,2024,102741,55,424,1,20,19,12.0
2024-0-115-103805-54-411,2024,103805,54,411,1,40,40,50.0
2024-0-115-102744-54-431,2024,102744,54,431,1,39,42,50.0
2024-0-111-42979-1-1,2024,42979,1,1,0,17,8,60.0
2024-0-115-103807-1-43,2024,103807,1,43,1,83,84,30.0
2024-0-115-104524-55-614,2024,104524,55,614,1,19,2,12.0
2024-0-111-102061-1-41,2024,102061,1,41,1,71,77,15.0
2024-0-111-102067-56-713,2024,102067,56,713,1,19,18,7.0
2024-0-113-107526-60-113,2024,107526,60,113,1,19,16,10.0
2024-0-114-102097-54-101,2024,102097,54,101,1,90,97,17.0
2024-0-114-102361-1-1,2024,102361,1,1,1,35,22,32.5
2024-0-113-100783-55-141,2024,100783,55,141,1,15,6,12.0
2024-0-113-100945-56-411,2024,100945,56,411,1,21,22,4.0
2024-0-114-102313-54-1,2024,102313,54,1,1,59,0,17.0
2024-0-102-106718-73-510,2024,106718,73,510,0,68,5,48.0
2024-0-102-106711-1-201,2024,106711,1,201,0,0,52,21.0
2024-0-113-101884-54-501,2024,101884,54,501,1,25,61,6.0
2024-0-102-106724-73-207,2024,106724,73,207,0,35,1,15.0
2024-0-102-106728-56-118,2024,106728,56,118,1,23,14,8.0
2024-0-115-104368-54-81,2024,104368,54,81,1,0,15,49.5
2024-0-114-102472-1-90,2024,102472,1,90,1,0,0,21.0
2024-0-103-100118-54-1,2024,100118,54,1,1,14,19,14.0
2024-0-102-106099-69-101,2024,106099,69,101,1,0,268,21.0
2024-0-101-106323-54-90,2024,106323,54,90,1,0,0,21.0
2024-0-111-105048-69-62,2024,105048,69,62,1,0,65,21.0
2024-0-101-106903-1-1,2024,106903,1,1,1,0,0,21.0
2024-0-111-102018-61-17,2024,102018,61,17,0,0,4,150.0
2024-0-107-102611-56-4,2024,102611,56,4,1,21,20,2.0
2024-0-102-106707-73-743,2024,106707,73,743,0,0,1,68.0
2024-0-103-101029-60-1,2024,101029,60,1,1,17,27,42.0
2024-0-103-101029-1-1,2024,101029,1,1,1,68,54,4.0
2024-0-114-105768-1-50,2024,105768,1,50,1,45,31,32.5
2024-0-114-105783-54-101,2024,105783,54,101,1,76,89,15.0
2024-0-113-44051-56-1,2024,44051,56,1,1,13,0,2.0
2024-0-113-44087-1-1,2024,44087,1,1,1,49,0,21.0
2024-0-113-44089-55-1,2024,44089,55,1,1,14,0,10.0
2024-0-101-100552-81-2,2024,100552,81,2,1,17,19,150.0
2024-0-102-106712-73-735,2024,106712,73,735,0,0,1,54.0
2024-0-103-101061-60-1,2024,101061,60,1,1,45,61,14.0
2024-0-103-101064-60-1,2024,101064,60,1,1,35,34,14.0
2024-0-103-106762-69-122,2024,106762,69,122,1,0,84,21.0
2024-0-103-104861-1-1,2024,104861,1,1,1,40,35,26.0
2024-0-115-102704-54-331,2024,102704,54,331,1,11,23,12.0
