id,name,building_id,capacity,is_active
B0/-106,aula d'informàtica a,B,97,True
B0/-124,aula informatica b,B,60,True
B0/-126,aula informatica c,B,65,True
B1/-1026,aula 1,B,32,True
B1/-1028,aula 2,B,57,True
B1/-1032,aula 2b,B,70,True
B1/-1038,aula 3,B,78,True
B1/-1042,aula 4,B,88,True
B1/-1046,aula 5,B,154,True
B1/-1050,aula 6,B,70,True
B1/-1054,aula 7,B,83,True
B1/-119,aula 1,B,65,True
B1/-123,aula 2,B,62,True
B1/-127,aula 3,B,62,True
B1/-129,aula 4,B,63,True
B1/-131,aula 5,B,54,True
B1/-132,aula docent,B,32,True
B1/-133,aula 6,B,82,True
B1/001,aula de mestratge,B,49,True
B1/0014,aula 8,B,45,True
B1/0020,aula 9,B,85,True
B1/0024,aula 10,B,48,True
B1/0030,aula 11,B,59,True
B1/0032,aula 12,B,54,True
B1/0034,aula 13,B,82,True
B1/0038,aula 14,B,87,True
B1/0042,aula 15,B,202,True
B1/023,aula 7,B,64,True
B1/025,aula 8,B,82,True
B1/027,aula 9,B,54,True
B1/029,aula 10,B,71,True
B1/031,aula 11,B,76,True
B1/033,aula 12,B,96,True
B1/0P2,d'aula 6 a aula 13,B,27,True
B11/008,aula 502,B,73,True
B11/016,aula 503,B,42,True
B11/018,aula 504,B,43,True
B11/020,aula 505,B,41,True
B11/022,aula 506,B,40,True
B11/024,aula 507,B,29,True
B11/032,aula 501,B,118,True
B11/182,aula 509,B,24,True
B11/288,laboratori de ling.informàt.,B,20,True
B2/-109,aula 1,B,33,True
B2/-113,aula 2,B,66,True
B2/-117,aula 3,B,67,True
B2/-119,aula 4,B,33,True
B2/-121,aula 5,B,60,True
B2/-123,aula 6,B,58,True
B2/-125,aula 7,B,50,True
B2/-125A,aula 8,B,52,True
B2/-128.2,sala control aula magna,B,38,True
B2/-130,aula magna posterior parell,B,7,True
B2/-141,aula magna,B,196,True
B2/013,aula 9,B,76,True
B2/013C,aula 9b,B,76,True
B2/015,aula 10,B,146,True
B2/017,aula 11,B,101,True
B2/019,aula 12,B,94,True
B2/023,aula 13,B,99,True
B2/025,aula 14,B,51,True
B2/0P1,d'aula 8 a aula 14,B,27,True
B3/0017,aula 20,B,68,True
B3/0019,aula 21,B,38,True
B3/0021,aula 22,B,82,True
B3/0025,aula 23,B,88,True
B3/0031,aula 24,B,38,True
B3/0035,aula 25,B,82,True
B3/0037,aula 26,B,88,True
B3/013,aula d'informàtica 23,B,60,True
B3/013A,aula d'informàtica 22,B,60,True
B3/017A,aula d'informàtica 21,B,57,True
B3/112C,aules seminaris,B,41,True
B3B/0002,aula 16,B,74,True
B3B/0006,aula 17,B,76,True
B3B/0010,aula 18,B,119,True
B3B/0014,aula 19,B,72,True
B5/-104,aula 16,B,36,True
B5/-106,aula 18,B,51,True
B5/-108,aula 17,B,46,True
B5/-118,aula p15,B,176,True
B5/012,lab. d'estad.aplic.i modelit.,B,20,True
B5/055,laboratori de metodologia,B,20,True
B5/116,laboratori,B,21,True
B5/118,laboratori psicologia experim.,B,20,True
B5/119,laboratori audiovisuals,B,20,True
B5/120,laboratori biofeetback,B,20,True
B5/122,laboratori psicooncologia,B,20,True
B5/127,laboratori a psicol.bàsica,B,20,True
B5/129,laboratori b - audiovisuals,B,20,True
B5/130,laboratori biofeetback,B,20,True
B5/132,laboratori conducta humana,B,20,True
B5/134,laboratori conducta animal,B,20,True
B5/1341,laboratori psicologia experim.,B,20,True
B5/1342,laboratori psicologia experim.,B,20,True
B5/136,lab. diferències indivi.,B,20,True
B5/146,laboratori,B,20,True
B5/1461,laboratori psicologia esport,B,20,True
B5/148,lab. psicologia de l'esport,B,20,True
B5/152,laboratori percepció,B,21,True
B5/156,laboratori,B,20,True
B5/158.22,laboratori,B,20,True
B5/158.24,laboratori,B,20,True
B5/158.28,laboratori,B,20,True
B5/158.38,laboratori,B,20,True
B5/158.6,laboratori,B,20,True
B5B/-110,aula p-07,B,38,True
B5B/-111,laboratori 36,B,21,True
B5B/-112,aula p-08,B,61,True
B5B/-113,laboratori 37,B,21,True
B5B/-115,laboratori 38,B,21,True
B5B/-116,aula p-09,B,64,True
B5B/-120,aula p-10,B,64,True
B5B/-121,suport logístic lab. docents,B,16,True
B5B/-124,aula p-11,B,64,True
B5B/-127,aula 35 informàtica,B,51,True
B5B/-128,aula p-12,B,64,True
B5B/-129,aula 34 informàtica,B,48,True
B5B/-131,aula 33 informàtica,B,48,True
B5B/-132,aula p-13,B,64,True
B5B/-133,aula 32 informàtica,B,48,True
B5B/-135,aula 31 informàtica,B,48,True
B5B/-136,aula p-14,B,61,True
B5B/004,aula p-01,B,76,True
B5B/006,aula p-02,B,86,True
B5B/010,aula p-03,B,86,True
B5B/014,aula p-04,B,86,True
B5B/018,aula p-05,B,86,True
B5B/022,aula p-06,B,104,True
B5B/055,laboratori,B,20,True
B5C/001,aula p-23,B,50,True
B5C/002,aula p-22,B,48,True
B5C/003,aula p-21,B,41,True
B5C/011,aula p-24,B,90,True
B5L/005,laboratori,B,20,True
B5L/011,laboratòri de farmacologia,B,20,True
B5L/025,laboratori,B,20,True
B5L/027,laboratori,B,20,True
B5L/033,laboratori,B,20,True
B5L/037,laboratori,B,20,True
B7/014,aula 202,B,47,True
B7/014B,aula 201,B,47,True
B7/016,aula 203,B,47,True
B7/018,aula 204,B,27,True
B7/020,aula 205,B,23,True
B7/022,aula 206,B,26,True
B7/024,aula 207,B,23,True
B7/026,aula 208,B,23,True
B7/028,aula 209,B,26,True
B7/030,aula 210,B,34,True
B7/032,aula 211,B,46,True
B7/034,aula 212,B,46,True
B7/036,aula 213,B,34,True
B7/038,aula 214,B,36,True
B7/040,aula 215,B,32,True
B7/042,aula 216,B,30,True
B7/1138,laboratori arqueologia,B,20,True
B7/155,laboratori lemla,B,20,True
B7/179,aula 218,B,30,True
B7B/003,aula 601,B,80,True
B7B/008,aula 101,B,106,True
B7B/009,aula 602,B,84,True
B7B/012,aula 102,B,62,True
B7B/013,aula 603,B,84,True
B7B/016,aula 103,B,62,True
B7B/017,aula 604,B,84,True
B7B/020,aula 104,B,62,True
B7B/021,aula 605,B,61,True
B7B/024,aula 105,B,63,True
B7B/028,aula 106,B,62,True
B7B/032,aula 107,B,57,True
B7B/101,laboratori de recerca,B,20,True
B7B/102,aula 108,B,84,True
B7B/103,aula 606,B,82,True
B7B/106,aula 109,B,62,True
B7B/107,aula 607,B,35,True
B7B/110,aula 110,B,63,True
B7B/114,aula 111,B,62,True
B7B/118,aula 112,B,62,True
B7B/122,aula 113,B,62,True
B7B/126,aula 114,B,62,True
B7B/130,aula 115,B,58,True
B9/0014,laboratori docent-aula 401-,B,21,True
B9/0016,aula docent 402,B,43,True
B9/0062,aula,B,46,True
B9/012,aula 401,B,51,True
B9/014,laboratori / aula 401,B,71,True
B9/1104,laboratori de recerca,B,20,True
B9/1104.1,laboratori de recerca,B,20,True
B9/127,aula-seminari facultat,B,16,True
B9/241,aula seminari facultat,B,17,True
B9B/004,aula 300,B,49,True
B9B/014,aula 301,B,51,True
B9B/018,aula 302,B,49,True
B9B/022,aula 303,B,48,True
B9B/026,aula 304,B,49,True
B9B/030,aula 305,B,60,True
B9B/034,aula 306,B,53,True
C/337,laboratori docent microbiologi,C,21,True
C/351,laboratori,C,21,True
C1/-124,aula,C,29,True
C1/-128,aula,C,38,True
C1/-338,laboratori,C,20,True
C1/-342,laboratori,C,20,True
C1/009,aula,C,58,True
C1/013,aula,C,82,True
C1/017,aula,C,121,True
C1/119-1,laboratori de receca,C,20,True
C1/136,laboratori de docència,C,21,True
C1/139-1,laboratori de receca,C,20,True
C1/221,laboratori pol·len,C,20,True
C1/223,laboratori,C,20,True
C1/227,laboratori cartografia,C,20,True
C1/245,laboratoris docents,C,21,True
C1/247,laboratori de docència,C,21,True
