id,subject_group_id,space_id,day,start,end,planned_capacity,real_capacity,is_morning,duration
1,1,,0,09:30,11:30,17,18,True,7200
2,1,,0,11:30,12:30,17,18,True,3600
3,1,,0,12:30,14:00,17,18,True,5400
4,1,,0,12:30,14:30,20,16,True,7200
5,1,,0,15:00,17:00,74,70,False,7200
6,1,,0,15:00,17:00,12,9,False,7200
7,1,,0,15:00,17:00,17,14,False,7200
8,1,,0,15:00,17:00,33,42,False,7200
9,1,,0,15:00,17:00,18,11,False,7200
10,1,,0,17:00,19:00,54,59,False,7200
11,1,,0,17:00,19:00,12,9,False,7200
12,1,,0,17:00,19:00,18,11,False,7200
13,1,,0,17:00,19:00,17,14,False,7200
14,1,,1,09:30,11:30,20,16,True,7200
15,1,,1,15:00,17:00,10,10,False,7200
16,1,,1,15:00,17:00,12,9,False,7200
17,1,,1,15:00,17:00,25,31,False,7200
18,1,,1,17:00,19:00,10,10,False,7200
19,1,,1,17:00,19:00,12,9,False,7200
20,1,,1,17:00,20:00,25,31,False,10800
21,1,,2,09:30,11:30,17,18,True,7200
22,1,,2,11:30,12:30,17,18,True,3600
23,1,,2,12:30,14:00,17,18,True,5400
24,1,,2,15:00,17:00,7,6,False,7200
25,1,,2,15:00,17:00,16,10,False,7200
26,1,,2,15:00,17:00,33,37,False,7200
27,1,,2,17:00,19:00,7,6,False,7200
28,1,,2,17:00,19:00,16,10,False,7200
29,1,,2,17:00,20:00,33,37,False,10800
30,1,,3,09:30,11:30,17,18,True,7200
31,1,,3,11:30,12:30,17,18,True,3600
32,1,,3,12:30,14:00,17,18,True,5400
33,1,,3,15:00,17:00,16,10,False,7200
34,1,,3,15:00,17:00,17,14,False,7200
35,1,,3,15:00,17:00,33,41,False,7200
36,1,,3,17:00,19:00,23,21,False,7200
37,1,,3,17:00,19:00,16,10,False,7200
38,1,,3,17:00,19:00,18,11,False,7200
39,1,,3,17:00,19:00,7,6,False,7200
40,1,,3,17:00,20:00,33,41,False,10800
41,1,,3,18:00,20:00,49,46,False,7200
42,1,,4,09:30,11:30,20,16,True,7200
43,1,,4,15:00,17:00,17,14,False,7200
44,1,,4,15:00,17:00,7,6,False,7200
45,1,,4,15:00,17:00,10,10,False,7200
46,1,,4,15:00,17:00,41,42,False,7200
47,1,,4,16:00,17:00,18,11,False,3600
48,1,,4,17:00,19:00,17,14,False,7200
49,1,,4,17:00,19:00,18,11,False,7200
50,1,,4,17:00,19:00,16,10,False,7200
51,1,,4,17:00,19:00,12,9,False,7200
52,1,,4,17:00,20:00,41,42,False,10800
53,10,,0,16:30,17:30,22,21,False,3600
54,10,,1,09:30,11:30,22,21,True,7200
55,10,,1,11:30,12:30,22,21,True,3600
56,10,,1,12:30,14:00,22,21,True,5400
57,10,,3,17:00,18:00,37,35,False,3600
58,11,,0,15:00,16:30,57,61,False,5400
59,11,,0,15:00,16:30,47,51,False,5400
60,11,,0,15:00,17:00,31,32,False,7200
61,11,,0,15:00,17:00,66,72,False,7200
62,11,,0,15:00,17:00,62,64,False,7200
63,11,,0,16:30,17:30,47,51,False,3600
64,11,,0,16:30,18:30,44,48,False,7200
65,11,,0,17:00,18:00,75,86,False,3600
66,11,,0,17:00,19:00,33,36,False,7200
67,11,,0,17:30,19:30,24,26,False,7200
68,11,,0,18:30,20:30,36,33,False,7200
69,11,,0,19:00,21:00,25,23,False,7200
70,11,,0,19:00,21:00,27,30,False,7200
71,11,,1,15:00,17:00,69,68,False,7200
72,11,,1,15:00,17:00,79,69,False,7200
73,11,,1,15:00,17:00,63,64,False,7200
74,11,,1,15:00,17:00,49,52,False,7200
75,11,,1,15:00,17:00,47,58,False,7200
76,11,,1,17:00,18:00,27,32,False,3600
77,11,,1,17:00,18:00,40,29,False,3600
78,11,,1,17:00,18:00,41,41,False,3600
79,11,,1,17:00,18:00,47,59,False,3600
80,11,,1,17:00,19:00,23,23,False,7200
81,11,,1,17:00,19:00,35,34,False,7200
82,11,,1,17:00,19:00,47,58,False,7200
83,11,,1,17:00,19:00,63,63,False,7200
84,11,,1,18:00,19:00,32,32,False,3600
85,11,,1,19:00,21:00,32,32,False,7200
86,11,,2,15:00,16:30,47,51,False,5400
87,11,,2,15:00,16:30,57,61,False,5400
88,11,,2,15:00,17:00,52,56,False,7200
89,11,,2,15:00,18:00,82,94,False,10800
90,11,,2,16:00,18:00,61,63,False,7200
91,11,,2,16:30,17:30,47,51,False,3600
92,11,,2,16:30,18:30,29,31,False,7200
93,11,,2,17:00,19:00,61,67,False,7200
94,11,,2,17:00,19:00,57,39,False,7200
95,11,,2,17:00,20:00,17,19,False,10800
96,11,,2,17:30,19:00,52,61,False,5400
97,11,,2,18:00,20:00,53,64,False,7200
98,11,,2,18:30,20:30,41,43,False,7200
99,11,,2,19:00,21:00,19,13,False,7200
100,11,,2,19:00,21:00,29,20,False,7200
101,11,,3,15:00,16:00,51,45,False,3600
102,11,,3,15:00,17:00,82,82,False,7200
103,11,,3,15:00,17:00,75,86,False,7200
104,11,,3,15:00,17:00,71,65,False,7200
105,11,,3,15:00,17:00,47,59,False,7200
106,11,,3,16:00,17:00,26,23,False,3600
107,11,,3,16:00,17:00,26,28,False,3600
108,11,,3,17:00,18:00,49,52,False,3600
109,11,,3,17:00,19:00,41,43,False,7200
110,11,,3,17:00,20:00,17,21,False,10800
111,11,,3,18:00,19:00,31,34,False,3600
112,11,,4,15:00,17:00,48,59,False,7200
113,11,,4,15:00,17:00,67,69,False,7200
114,11,,4,15:30,16:30,38,43,False,3600
115,11,,4,16:00,18:00,54,59,False,7200
116,11,,4,17:00,18:00,48,59,False,3600
117,11,,4,17:00,18:00,34,35,False,3600
118,11,,4,17:00,20:00,21,21,False,10800
119,11,,4,18:00,19:00,38,43,False,3600
120,11,,4,18:00,21:00,18,30,False,10800
121,11,,4,18:00,21:00,27,30,False,10800
122,12,,0,15:00,17:00,30,31,False,7200
123,12,,0,16:30,18:30,35,32,False,7200
124,12,,0,17:00,19:00,24,23,False,7200
125,12,,0,17:30,19:30,23,25,False,7200
126,12,,0,18:30,20:30,37,38,False,7200
127,12,,0,19:00,21:00,27,29,False,7200
128,12,,0,19:00,21:00,33,36,False,7200
129,12,,1,17:00,18:00,31,32,False,3600
130,12,,1,17:00,19:00,34,34,False,7200
131,12,,1,17:00,19:00,23,23,False,7200
132,12,,1,18:00,19:00,41,41,False,3600
133,12,,1,18:00,19:00,39,28,False,3600
